Survived,Pclass,Sex,Age,SibSp,Parch,Sendiri,Embarked,Fare
0,3,male,42,0,0,1,S,7.65
1,1,female,18,1,0,0,C,227.525
1,1,male,35,0,0,1,S,26.2875
0,3,female,18,0,1,0,C,14.4542
0,3,male,25,0,0,1,Q,7.7417
0,3,male,26,1,0,0,S,7.8542
0,2,male,39,0,0,1,S,26
1,2,female,45,0,0,1,S,13.5
1,1,male,42,0,0,1,S,26.2875
1,1,female,22,0,0,1,S,151.55
1,3,male,,1,1,0,C,15.2458
1,1,female,24,0,0,1,C,49.5042
0,1,male,,0,0,1,S,26.55
1,1,male,48,1,0,0,S,52
0,3,male,29,0,0,1,S,9.4833
0,2,male,52,0,0,1,S,13
0,3,male,19,0,0,1,S,7.65
1,1,female,38,0,0,1,C,227.525
1,2,female,27,0,0,1,S,10.5
0,3,male,,0,0,1,Q,15.5
0,3,male,33,0,0,1,S,7.775
1,2,female,6,0,1,0,S,33
0,3,male,17,1,0,0,S,7.0542
0,2,male,34,0,0,1,S,13
0,2,male,50,0,0,1,S,13
1,1,male,27,1,0,0,S,53.1
0,3,male,20,0,0,1,S,8.6625
1,2,female,30,3,0,0,S,21
1,3,female,,0,0,1,Q,7.7375
0,2,male,25,1,0,0,S,26
0,3,female,25,1,0,0,S,7.925
1,1,female,29,0,0,1,S,211.3375
0,3,male,11,0,0,1,C,18.7875
0,2,male,,0,0,1,S,0
0,2,male,23,0,0,1,S,13
0,2,male,23,0,0,1,S,13
0,3,male,28.5,0,0,1,S,16.1
0,3,female,48,1,3,0,S,34.375
1,1,male,35,0,0,1,C,512.3292
0,3,male,,0,0,1,S,7.8958
0,3,male,,0,0,1,S,7.8958
1,1,male,,0,0,1,S,30
0,1,male,36,1,0,0,S,78.85
1,1,female,21,2,2,0,C,262.375
0,3,male,24,1,0,0,S,16.1
1,3,male,31,0,0,1,S,7.925
0,1,male,70,1,1,0,S,71
0,3,male,16,1,1,0,S,20.25
1,2,female,30,0,0,1,S,13
0,1,male,19,1,0,0,S,53.1
0,3,male,31,0,0,1,Q,7.75
1,2,female,4,1,1,0,S,23
1,3,male,6,0,1,0,S,12.475
0,3,male,33,0,0,1,S,9.5
0,3,male,23,0,0,1,S,7.8958
1,2,female,48,1,2,0,S,65
1,2,male,0.67,1,1,0,S,14.5
0,3,male,28,0,0,1,S,7.7958
0,2,male,18,0,0,1,S,11.5
0,3,male,34,0,0,1,S,8.05
1,1,female,33,0,0,1,S,86.5
0,3,male,,0,0,1,S,14.5
0,3,male,41,0,0,1,S,7.125
1,3,male,20,0,0,1,C,7.2292
1,1,female,36,1,2,0,S,120
0,3,male,16,0,0,1,S,7.775
1,1,female,51,1,0,0,S,77.9583
0,1,male,,0,0,1,C,39.6
0,3,female,30.5,0,0,1,Q,7.75
0,3,male,,1,0,0,Q,24.15
0,3,male,32,0,0,1,S,8.3625
0,3,male,24,0,0,1,S,9.5
0,3,male,48,0,0,1,S,7.8542
0,2,female,57,0,0,1,S,10.5
0,3,male,,0,0,1,C,7.225
1,2,female,54,1,3,0,S,23
0,3,male,18,0,0,1,S,7.75
0,3,male,,0,0,1,Q,7.75
1,3,female,5,0,0,1,S,12.475
0,3,male,,0,0,1,Q,7.7375
1,1,female,43,0,1,0,S,211.3375
1,3,female,13,0,0,1,C,7.2292
1,1,female,17,1,0,0,S,57
0,1,male,29,0,0,1,S,30
0,3,male,,1,2,0,S,23.45
0,3,male,25,0,0,1,S,7.05
0,3,male,25,0,0,1,S,7.25
1,3,female,18,0,0,1,S,7.4958
0,3,male,8,4,1,0,Q,29.125
1,3,male,1,1,2,0,S,20.575
0,1,male,46,0,0,1,C,79.2
0,3,male,,0,0,1,Q,7.75
0,2,male,16,0,0,1,S,26
0,3,female,,8,2,0,S,69.55
0,1,male,,0,0,1,C,30.6958
0,3,male,25,0,0,1,S,7.8958
0,2,male,39,0,0,1,S,13
1,1,female,49,0,0,1,S,25.9292
1,3,female,31,0,0,1,S,8.6833
0,3,male,30,0,0,1,C,7.2292
0,3,female,30,1,1,0,S,24.15
0,2,male,34,0,0,1,S,13
1,2,female,31,1,1,0,S,26.25
1,1,male,11,1,2,0,S,120
1,3,male,0.42,0,1,0,C,8.5167
1,3,male,27,0,0,1,S,6.975
0,3,male,31,0,0,1,S,7.775
0,1,male,39,0,0,1,S,0
0,3,female,18,0,0,1,S,7.775
0,2,male,39,0,0,1,S,13
1,1,female,33,1,0,0,S,53.1
0,3,male,26,0,0,1,S,7.8875
0,3,male,39,0,0,1,S,24.15
0,2,male,35,0,0,1,S,10.5
0,3,female,6,4,2,0,S,31.275
0,3,male,30.5,0,0,1,S,8.05
0,1,male,,0,0,1,S,0
0,3,female,23,0,0,1,S,7.925
0,2,male,31,1,1,0,C,37.0042
0,3,male,43,0,0,1,S,6.45
0,3,male,10,3,2,0,S,27.9
1,1,female,52,1,1,0,S,93.5
1,3,male,27,0,0,1,S,8.6625
0,1,male,38,0,0,1,S,0
1,3,female,27,0,1,0,S,12.475
0,3,male,2,4,1,0,S,39.6875
0,3,male,,0,0,1,Q,6.95
0,3,male,,0,0,1,S,56.4958
1,2,male,1,0,2,0,C,37.0042
1,3,male,,0,0,1,Q,7.75
1,1,female,62,0,0,1,,80
1,3,female,15,1,0,0,C,14.4542
1,2,male,0.83,1,1,0,S,18.75
0,3,male,,0,0,1,C,7.2292
0,3,male,23,0,0,1,S,7.8542
0,3,male,18,0,0,1,S,8.3
1,1,female,39,1,1,0,C,83.1583
0,3,male,21,0,0,1,S,8.6625
0,3,male,,0,0,1,S,8.05
1,3,male,32,0,0,1,S,56.4958
1,1,male,,0,0,1,C,29.7
0,3,male,20,0,0,1,S,7.925
0,2,male,16,0,0,1,S,10.5
1,1,female,30,0,0,1,C,31
0,3,male,34.5,0,0,1,C,6.4375
0,3,male,17,0,0,1,S,8.6625
0,3,male,42,0,0,1,S,7.55
0,3,male,,8,2,0,S,69.55
0,3,male,35,0,0,1,C,7.8958
0,2,male,28,0,1,0,S,33
1,1,female,,1,0,0,C,89.1042
0,3,male,4,4,2,0,S,31.275
0,3,male,74,0,0,1,S,7.775
0,3,female,9,1,1,0,C,15.2458
1,1,female,16,0,1,0,S,39.4
0,2,female,44,1,0,0,S,26
1,3,female,18,0,1,0,S,9.35
1,1,female,45,1,1,0,S,164.8667
1,1,male,51,0,0,1,S,26.55
1,3,female,24,0,3,0,C,19.2583
0,3,male,,0,0,1,C,7.2292
0,3,male,41,2,0,0,S,14.1083
0,2,male,21,1,0,0,S,11.5
1,1,female,48,0,0,1,S,25.9292
0,3,female,,8,2,0,S,69.55
0,2,male,24,0,0,1,S,13
1,2,female,42,0,0,1,S,13
1,2,female,27,1,0,0,C,13.8583
0,1,male,31,0,0,1,S,50.4958
0,3,male,,0,0,1,S,9.5
1,3,male,4,1,1,0,S,11.1333
0,3,male,26,0,0,1,S,7.8958
1,1,female,47,1,1,0,S,52.5542
0,1,male,33,0,0,1,S,5
0,3,male,47,0,0,1,S,9
1,2,female,28,1,0,0,C,24
1,3,female,15,0,0,1,C,7.225
0,3,male,20,0,0,1,S,9.8458
0,3,male,19,0,0,1,S,7.8958
0,3,male,,0,0,1,S,7.8958
1,1,female,56,0,1,0,C,83.1583
1,2,female,25,0,1,0,S,26
0,3,male,33,0,0,1,S,7.8958
0,3,female,22,0,0,1,S,10.5167
0,2,male,28,0,0,1,S,10.5
0,3,male,25,0,0,1,S,7.05
0,3,female,39,0,5,0,Q,29.125
0,2,male,27,0,0,1,S,13
1,1,female,19,0,0,1,S,30
0,3,female,,1,2,0,S,23.45
1,1,male,26,0,0,1,C,30
0,3,male,32,0,0,1,Q,7.75
